video_id,desc,author,create_time,tags,duration
7521236600441933094,6月30日“喜从天来” #老黄历 #电子日历 #游戏指南 #中国传统文化,禛一,2025-06-29 13:19:41,"老黄历, 电子日历, 游戏指南, 中国传统文化",0
7520548005771808041,日本漆器？不！它是中国非遗！#中华器灵 #百young非遗计划,-毛豆-,2025-06-28 16:00:00,"中华器灵, 百young非遗计划",0
7520522163179228442,“星星之火可以燎原”，这就是最好的文化传承啊！#南翔再现非遗火虎野性之美 #南翔重现非遗火虎踏焰而来#南翔体验邹城非遗火虎#3600根火药重现非遗火虎,会火大明星,2025-06-27 20:29:59,"南翔再现非遗火虎野性之美, 南翔重现非遗火虎踏焰而来, 南翔体验邹城非遗火虎",0
7521237113388502281,平凉是古丝绸之路上的重镇，而泾川大云寺则是佛教文化传播的重要见证者，也是陇东宗教历史的珍贵实物遗存～#董宇辉 #与辉同行 #董宇辉拥有暖评最多的评论区 #与辉同行阅山河 #与辉同行甘肃行,与辉同行,2025-06-29 13:21:28,"董宇辉, 与辉同行, 董宇辉拥有暖评最多的评论区, 与辉同行阅山河, 与辉同行甘肃行",0
7521287799518285083,文化分享 6.30 #黄历 #传统文化,莫问师叔,2025-06-29 16:38:04,"黄历, 传统文化",0
7520892340957973823,中国第一块旧石器的发现，否定了中国文化西来说的论调！#董宇辉 #董宇辉拥有暖评最多的评论区 #与辉同行 #与辉同行甘肃行,与辉同行,2025-06-28 15:03:45,"董宇辉, 董宇辉拥有暖评最多的评论区, 与辉同行, 与辉同行甘肃行",0
7521203676540554556,会说话才能不得罪领导#老外 #让老外感受中国文化,有个同事叫亚当,2025-06-29 11:11:36,"老外, 让老外感受中国文化",0
7520984664652516671,感谢世上还有文学 #毕业演讲 #文学 #我们都会有光明的未来 #正能量,芒果剧集社,2025-06-28 21:01:45,"毕业演讲, 文学, 我们都会有光明的未来, 正能量",0
7520873918765387043,河北人第一课 忠义/.@河北文旅 #代号鸢 #如鸢 #这么近那么美周末到河北 #是的我玩鸢,蘑菇云,2025-06-28 13:51:58,"代号鸢, 如鸢, 这么近那么美周末到河北, 是的我玩鸢",0
7520865368253009193,这里有见证庆阳璀璨文化的瑰宝，也有它历经千年仍生生不息的历史印记！庆阳博物馆，我们来啦～#董宇辉 #与辉同行 #董宇辉拥有暖评最多的评论区 #与辉同行阅山河 #与辉同行甘肃行,与辉同行,2025-06-28 13:18:57,"董宇辉, 与辉同行, 董宇辉拥有暖评最多的评论区, 与辉同行阅山河, 与辉同行甘肃行",0
7521236312600268090,重磅红山，中华文明直根系，华山玫瑰燕山龙#曼行内蒙古#赤峰#红山文化#历史遗迹#大有学问  #历史遗迹,蒙曼,2025-06-29 13:18:14,"曼行内蒙古, 赤峰, 红山文化, 历史遗迹",0
7520634636923637052,#dou上热门  不能下水的原因竟是………#抖音看世界 #抽象艺术 #手势舞教学,CIDIS国际文化,2025-06-27 22:23:26,"dou上热门, 抖音看世界, 抽象艺术, 手势舞教学",0
7520560670681697555,怎么看待数学界天才崇拜这种文化 #内容启发搜索,是东子啊啊,2025-06-27 17:36:42,内容启发搜索,0
7520593160259587378,老外被中国式“开放”所震惊！原来道理是... #中外差异 #外国人在中国 #文化差异,英国秀才,2025-06-28 18:00:00,"中外差异, 外国人在中国, 文化差异",0
7520952109223775498,十分钟讲完千年高考史 从古代科举到今天高考，一张考卷始终是普通人最公平的翻身仗。千年前，科举撕开门第的铁幕；而如今，高考给每个追梦者对抗命运、书写自己人生传奇的机会。#高考 #中国传统文化 #科举考试,何楚涵博士,2025-06-28 18:55:40,"高考, 中国传统文化, 科举考试, 人生, 国学文化",0
7520626854526373154,中国历史王朝篇之大清帝国的荣辱兴衰史。#清朝历史 #睡前故事 #助眠 #一口气看完系列,睡前历史说,2025-06-27 21:53:14,"清朝历史, 睡前故事, 助眠, 一口气看完系列",0
7520502744102210866,马英九：两岸要共同传承弘扬中华文化 让中华文化在世界发光发热 #马英九甘肃行,台海时刻,2025-06-27 13:51:39,,0
7520528296342277430,当“井水不犯河水”具象化！#有趣现象 #中国文化 #旧州 #泾渭分明 （视频来源：旧州热心市民朱光模 编辑：孟庆兰）,西秀大城小事,2025-06-27 15:30:57,"有趣现象, 中国文化, 旧州, 泾渭分明",0
7141026309240605959,"都说中国文化，但如何解释什么是中国文化，是要费些脑筋
#奇怪的知识点又增加了#涨知识 #艺术 #美学 ",何大爷,2022-09-08 23:09:24,"奇怪的知识点又增加了, 涨知识, 艺术, 美学",0
7521346093914967332,"为何宋朝会被后世贴上""积贫积弱""的标签，但也有人说，华夏民族之文化，历数千载之演进，造极于赵宋之世#历史",曹长卿,2025-06-29 20:24:18,历史,0
7520944427806182716,体育生高考文化600分？这正常吗？ #体育生 #高考 #大嘴钉鞋解说,大嘴钉鞋解说,2025-06-28 18:25:34,"体育生, 高考, 大嘴钉鞋解说",0
7520488127677369651,为什么很多人都说老三国没点文化看不懂，而新三国却是越有文化越看不下去#三国演义  #94版三国演义  #幽州校尉  #刘备 #孙彦军,幽州校尉,2025-06-27 12:55:05,"三国演义, 94版三国演义, 幽州校尉, 刘备, 孙彦军",0
7521336006667881786,白冰汉服造型让大家眼前一亮！这身装扮竟然有这么多讲究！ #白冰#传统文化#传统服饰#文化输出#国风合伙人,小鱼传统文化服饰,2025-06-29 19:45:06,"白冰, 传统文化, 传统服饰, 文化输出, 国风合伙人",0
7520501059404434729,20岁日本亚文化男孩的一天是什么样？ #日本 #全障碍盲盒旅行 #交换旅行新灵感 #好好毕业尽兴旅行 #环球旅行1995,崔丁,2025-06-28 12:00:00,"日本, 全障碍盲盒旅行, 交换旅行新灵感, 好好毕业尽兴旅行, 环球旅行1995",0
7520883775836917019,天胡开局的中华汽车！怎么就被混成这鸟样？ #中华汽车 #宝马 #汽车文化,老沙的车,2025-06-28 17:26:00,"中华汽车, 宝马, 汽车文化",0
7520664976084831522,易烊千玺会是下一代的巨星吗，就像刘德华一样 #易烊千玺 #刘德华 #酱园弄,晶哥来了-电影文化,2025-06-28 11:20:00,"易烊千玺, 刘德华, 酱园弄",0
